rss_url,source
http://www.b.dk/seneste/rss, Berlingske
http://politiken.dk/rss/senestenyt.rss, Politiken
http://ekstrabladet.dk/rssfeed/all/, Ekstrabladet
http://www.bt.dk/bt/seneste/rss, BT
http://jyllands-posten.dk/?service=rssfeed&submode=topnyheder, Jyllands Posten
http://borsen.dk/rss/, Borsen
http://www.kristeligt-dagblad.dk/rss/nyheder, Kristeligt Dagblad
http://feeds.tv2.dk/nyheder/rss, TV 2
https://ing.dk/rss/nyheder, Ingenioeren
https://www.dr.dk/nyheder/service/feeds/allenyheder, DR
https://www.information.dk/feed, Information
https://www.jv.dk/rss/nyheder, Jydske Vestkysten
